RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
49,8.166666666666667E-4,0.0,0.0
99,0.00165,0.0,0.0
149,0.0024833333333333335,0.0,0.0
199,0.0033166666666666665,0.0,2.3611734
249,0.00415,0.0,6.7866454
299,0.0049833333333333335,0.0,20.58462
349,0.005816666666666667,0.0,15.507456
399,0.00665,0.0,32.830463
449,0.007483333333333333,0.0,43.853825
499,0.008316666666666667,0.0,35.97824
549,0.00915,0.0,12.893867
599,0.009983333333333334,0.0,19.764565
649,0.010816666666666667,0.0,59.429974
699,0.01165,0.0,45.18434
749,0.012483333333333334,0.0,21.584044
799,0.013316666666666666,0.0,2.7885227
849,0.01415,0.0,38.43456
899,0.014983333333333333,0.0,0.0
949,0.015816666666666666,0.0,0.0
999,0.01665,0.0,0.0
1049,0.017483333333333333,0.0,0.0
1099,0.018316666666666665,0.0,0.0
1149,0.01915,0.0,30.703274
1199,0.019983333333333332,0.0,48.91392
1249,0.020816666666666667,0.0,8.777472
1299,0.02165,0.0,0.0
1349,0.022483333333333334,0.0,0.0
1399,0.023316666666666666,0.0,0.0
1449,0.02415,0.0,0.0
1499,0.024983333333333333,0.0,0.0
1549,0.02581666666666667,0.0,0.0
1599,0.02665,0.0,0.0
1649,0.027483333333333332,0.0,0.0
1699,0.028316666666666667,0.0,0.0
1749,0.02915,0.0,0.0
1799,0.029983333333333334,0.0,0.0
1849,0.030816666666666666,0.0,0.0
1899,0.03165,0.0,0.0
1949,0.032483333333333336,0.0,0.0
1999,0.03331666666666667,0.0,0.0
2049,0.03415,0.0,0.0
2099,0.03498333333333333,0.0,39.209644
2149,0.03581666666666666,0.0,107.94257
2199,0.03665,0.0,81.113686
2249,0.037483333333333334,0.0,92.049576
2299,0.038316666666666666,0.0,52.4102
2349,0.03915,0.0,38.91106
2399,0.039983333333333336,0.0,0.668928
2449,0.04081666666666667,0.0,34.399147
2499,0.04165,0.0,82.91558
2549,0.04248333333333333,0.0,129.77289
2599,0.04331666666666667,0.0,105.50417
2649,0.04415,0.0,39.912876
2699,0.044983333333333334,0.0,0.0
2749,0.045816666666666665,0.0,0.0
2799,0.04665,0.0,12.78993
2849,0.047483333333333336,0.0,55.126785
2899,0.04831666666666667,0.0,45.50033
2949,0.04915,0.0,2.1607254
2999,0.04998333333333333,0.0,0.0
3049,0.05081666666666667,0.0,0.0
3099,0.05165,0.0,0.0
3149,0.05248333333333333,0.0,16.194134
3199,0.053316666666666665,0.0,24.669184
3249,0.05415,0.0,72.004265
3299,0.054983333333333335,0.0,50.759254
3349,0.05581666666666667,0.0,29.68704
3399,0.05665,0.0,21.74737
3449,0.05748333333333333,0.0,7.291477
3499,0.05831666666666667,0.0,0.0
3549,0.05915,0.0,0.0
3599,0.05998333333333333,0.0,6.3141546
3649,0.060816666666666665,0.0,57.65376
3699,0.06165,0.0,105.76231
3749,0.062483333333333335,0.0,133.30244
3799,0.06331666666666666,0.0,137.64241
3849,0.06415,0.0,84.8937
3899,0.06498333333333334,0.0,55.451393
3949,0.06581666666666666,0.0,56.48768
3999,0.06665,0.0,41.727657
4049,0.06748333333333334,0.0,32.02389
4099,0.06831666666666666,0.0,0.0
4149,0.06915,0.0,0.0
4199,0.06998333333333333,0.0,13.706752
4249,0.07081666666666667,0.0,44.89395
4299,0.07165,0.0,78.03827
4349,0.07248333333333333,0.0,94.874115
4399,0.07331666666666667,0.0,100.26982
4449,0.07415,0.0,84.51567
4499,0.07498333333333333,0.0,47.664555
4549,0.07581666666666667,0.0,59.830444
4599,0.07665,0.0,55.51531
4649,0.07748333333333333,0.0,68.08525
4699,0.07831666666666667,0.0,42.39727
4749,0.07915,0.0,0.0
4799,0.07998333333333334,0.0,0.0
4849,0.08081666666666666,0.0,0.0
4899,0.08165,0.0,0.0
4949,0.08248333333333334,0.0,0.0
4999,0.08331666666666666,0.0,0.0
5049,0.08415,0.0,0.0
5099,0.08498333333333333,0.0,0.0
5149,0.08581666666666667,0.0,0.0
5199,0.08665,0.0,0.0
5249,0.08748333333333333,0.0,0.0
5299,0.08831666666666667,0.0,0.0
5349,0.08915,0.0,0.0
5399,0.08998333333333333,0.0,0.0
5449,0.09081666666666667,0.0,0.0
5499,0.09165,0.0,12.199082
5549,0.09248333333333333,0.0,49.087746
5599,0.09331666666666667,0.0,38.31185
5649,0.09415,0.0,78.60489
5699,0.09498333333333334,0.0,63.093845
5749,0.09581666666666666,0.0,51.674282
5799,0.09665,0.0,0.0
5849,0.09748333333333334,0.0,0.0
5899,0.09831666666666666,0.0,0.0
5949,0.09915,0.0,0.0
5999,0.09998333333333333,0.0,0.0
6049,0.10081666666666667,0.0,0.0
6099,0.10165,0.0,2.4357548
6149,0.10248333333333333,0.0,0.0
6199,0.10331666666666667,0.0,15.897429
6249,0.10415,0.0,16.595455
6299,0.10498333333333333,0.0,15.404118
6349,0.10581666666666667,0.0,0.0
6399,0.10665,0.0,0.0
6449,0.10748333333333333,0.0,0.0
6499,0.10831666666666667,0.0,0.0
6549,0.10915,0.0,31.327488
6599,0.10998333333333334,0.0,78.464935
6649,0.11081666666666666,0.0,95.68034
6699,0.11165,0.0,57.93903
6749,0.11248333333333334,0.0,38.300926
6799,0.11331666666666666,0.0,4.6184106
6849,0.11415,0.0,0.0
6899,0.11498333333333334,0.0,0.0
6949,0.11581666666666666,0.0,0.0
