RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
7349,0.12248333333333333,0.0,0.0
7399,0.12331666666666667,0.0,0.0
7449,0.12415,0.0,0.0
7499,0.12498333333333334,0.0,0.0
7549,0.12581666666666666,0.0,9.479254
7599,0.12665,0.0,54.886826
7649,0.12748333333333334,0.0,49.967873
7699,0.12831666666666666,0.0,67.69152
7749,0.12915,0.0,52.02287
7799,0.12998333333333334,0.0,41.896873
7849,0.13081666666666666,0.0,23.412054
7899,0.13165,0.0,0.0
7949,0.13248333333333334,0.0,0.0
7999,0.13331666666666667,0.0,0.0
8049,0.13415,0.0,4.6266026
8099,0.13498333333333334,0.0,6.794496
8149,0.13581666666666667,0.0,0.0
8199,0.13665,0.0,0.0
8249,0.13748333333333335,0.0,0.0
8299,0.13831666666666667,0.0,13.928192
8349,0.13915,0.0,22.896128
8399,0.13998333333333332,0.0,14.34112
8449,0.14081666666666667,0.0,0.0
8499,0.14165,0.0,0.0
8549,0.14248333333333332,0.0,0.0
8599,0.14331666666666668,0.0,21.748394
8649,0.14415,0.0,32.62447
8699,0.14498333333333333,0.0,40.29747
8749,0.14581666666666668,0.0,56.52975
8799,0.14665,0.0,63.15392
8849,0.14748333333333333,0.0,53.248085
8899,0.14831666666666668,0.0,28.32128
8949,0.14915,0.0,8.157952
8999,0.14998333333333333,0.0,13.424298
9049,0.15081666666666665,0.0,0.0
9099,0.15165,0.0,0.0
9149,0.15248333333333333,0.0,0.0
9199,0.15331666666666666,0.0,0.0
9249,0.15415,0.0,0.0
9299,0.15498333333333333,0.0,0.0
9349,0.15581666666666666,0.0,0.0
9399,0.15665,0.0,0.0
9449,0.15748333333333334,0.0,0.0
9499,0.15831666666666666,0.0,31.588097
9549,0.15915,0.0,66.54643
9599,0.15998333333333334,0.0,61.999958
9649,0.16081666666666666,0.0,9.140139
9699,0.16165,0.0,0.0
9749,0.16248333333333334,0.0,0.0
9799,0.16331666666666667,0.0,0.0
9849,0.16415,0.0,0.0
9899,0.16498333333333334,0.0,0.0
9949,0.16581666666666667,0.0,0.0
9999,0.16665,0.0,0.0
10049,0.16748333333333335,0.0,14.059264
10099,0.16831666666666667,0.0,0.0
10149,0.16915,0.0,0.0
10199,0.16998333333333332,0.0,0.0
10249,0.17081666666666667,0.0,0.0
10299,0.17165,0.0,1.883648
10349,0.17248333333333332,0.0,8.6610775
10399,0.17331666666666667,0.0,43.472385
10449,0.17415,0.0,71.718994
10499,0.17498333333333332,0.0,57.076565
10549,0.17581666666666668,0.0,12.448341
10599,0.17665,0.0,0.0
10649,0.17748333333333333,0.0,0.0
10699,0.17831666666666668,0.0,0.0
10749,0.17915,0.0,25.017088
10799,0.17998333333333333,0.0,24.379562
10849,0.18081666666666665,0.0,4.457557
10899,0.18165,0.0,21.520214
10949,0.18248333333333333,0.0,40.18244
10999,0.18331666666666666,0.0,84.40405
11049,0.18415,0.0,85.00412
11099,0.18498333333333333,0.0,78.70643
11149,0.18581666666666666,0.0,79.149994
11199,0.18665,0.0,65.349205
11249,0.18748333333333334,0.0,34.71044
11299,0.18831666666666666,0.0,7.3216853
11349,0.18915,0.0,9.272918
11399,0.18998333333333334,0.0,14.5408
11449,0.19081666666666666,0.0,32.95215
11499,0.19165,0.0,45.071274
11549,0.19248333333333334,0.0,95.39516
11599,0.19331666666666666,0.0,106.33173
11649,0.19415,0.0,77.59027
11699,0.19498333333333334,0.0,65.20712
11749,0.19581666666666667,0.0,62.97873
11799,0.19665,0.0,61.87699
11849,0.19748333333333334,0.0,44.037033
11899,0.19831666666666667,0.0,24.850431
11949,0.19915,0.0,21.183659
11999,0.19998333333333335,0.0,33.96446
12049,0.20081666666666667,0.0,46.324566
12099,0.20165,0.0,46.879147
12149,0.20248333333333332,0.0,23.93327
12199,0.20331666666666667,0.0,0.0
12249,0.20415,0.0,0.0
12299,0.20498333333333332,0.0,0.0
12349,0.20581666666666668,0.0,20.612011
12399,0.20665,0.0,88.95394
12449,0.20748333333333333,0.0,84.290985
12499,0.20831666666666668,0.0,68.78541
12549,0.20915,0.0,57.098324
12599,0.20998333333333333,0.0,49.46142
12649,0.21081666666666668,0.0,7.488512
12699,0.21165,0.0,0.0
12749,0.21248333333333333,0.0,0.0
12799,0.21331666666666665,0.0,0.0
12849,0.21415,0.0,12.518485
12899,0.21498333333333333,0.0,23.055958
12949,0.21581666666666666,0.0,17.266945
12999,0.21665,0.0,0.0
13049,0.21748333333333333,0.0,14.656597
13099,0.21831666666666666,0.0,24.720127
13149,0.21915,0.0,13.847894
13199,0.21998333333333334,0.0,0.0
13249,0.22081666666666666,0.0,0.0
13299,0.22165,0.0,0.0
13349,0.22248333333333334,0.0,0.0
13399,0.22331666666666666,0.0,0.0
13449,0.22415,0.0,0.0
13499,0.22498333333333334,0.0,0.0
13549,0.22581666666666667,0.0,0.0
13599,0.22665,0.0,0.0
13649,0.22748333333333334,0.0,0.0
13699,0.22831666666666667,0.0,0.0
13749,0.22915,0.0,0.0
13799,0.22998333333333335,0.0,0.0
13849,0.23081666666666667,0.0,0.0
13899,0.23165,0.0,0.0
13949,0.23248333333333332,0.0,3.09376
13999,0.23331666666666667,0.0,27.897686
14049,0.23415,0.0,43.542103
14099,0.23498333333333332,0.0,20.38383
14149,0.23581666666666667,0.0,0.0
14199,0.23665,0.0,0.0
14249,0.23748333333333332,0.0,0.0
14299,0.23831666666666668,0.0,0.0
14349,0.23915,0.0,33.165314
14399,0.23998333333333333,0.0,77.89201
14449,0.24081666666666668,0.0,71.953156
14499,0.24165,0.0,52.041557
14549,0.24248333333333333,0.0,27.917995
14599,0.24331666666666665,0.0,18.025642
14649,0.24415,0.0,5.5711575
14699,0.24498333333333333,0.0,0.0
14749,0.24581666666666666,0.0,0.0
14799,0.24665,0.0,14.592085
14849,0.24748333333333333,0.0,29.191082
14899,0.24831666666666666,0.0,0.0
14949,0.24915,0.0,0.0
14999,0.24998333333333334,0.0,0.0
15049,0.2508166666666667,0.0,0.0
15099,0.25165,0.0,14.528341
15149,0.25248333333333334,0.0,7.892309
15199,0.2533166666666667,0.0,0.0
15249,0.25415,0.0,4.478976
