RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
49,8.166666666666667E-4,0.0,17.89201
99,0.00165,0.0,9.258667
149,0.0024833333333333335,0.0,0.0
199,0.0033166666666666665,0.0,0.0
249,0.00415,0.0,0.0
299,0.0049833333333333335,0.0,29.889366
349,0.005816666666666667,0.0,6.5790296
399,0.00665,0.0,0.0
449,0.007483333333333333,0.0,0.0
499,0.008316666666666667,0.0,0.0
549,0.00915,0.0,0.0
599,0.009983333333333334,0.0,0.0
649,0.010816666666666667,0.0,0.0
699,0.01165,0.0,0.0
749,0.012483333333333334,0.0,0.0
799,0.013316666666666666,0.0,0.0
849,0.01415,0.0,0.0
899,0.014983333333333333,0.0,0.0
949,0.015816666666666666,0.0,0.0
999,0.01665,0.0,0.0
1049,0.017483333333333333,0.0,2.6205013
1099,0.018316666666666665,0.0,11.470677
1149,0.01915,0.0,29.944746
1199,0.019983333333333332,0.0,31.541077
1249,0.020816666666666667,0.0,2.1463892
1299,0.02165,0.0,0.0
1349,0.022483333333333334,0.0,0.0
1399,0.023316666666666666,0.0,0.0
1449,0.02415,0.0,0.0
1499,0.024983333333333333,0.0,0.0
1549,0.02581666666666667,0.0,0.0
1599,0.02665,0.0,0.0
1649,0.027483333333333332,0.0,0.0
1699,0.028316666666666667,0.0,0.0
1749,0.02915,0.0,0.0
1799,0.029983333333333334,0.0,0.0
1849,0.030816666666666666,0.0,0.0
1899,0.03165,0.0,51.813034
1949,0.032483333333333336,0.0,53.517654
1999,0.03331666666666667,0.0,11.647573
2049,0.03415,0.0,0.0
2099,0.03498333333333333,0.0,0.0
2149,0.03581666666666666,0.0,0.0
2199,0.03665,0.0,0.0
2249,0.037483333333333334,0.0,0.0
2299,0.038316666666666666,0.0,0.0
2349,0.03915,0.0,36.40175
2399,0.039983333333333336,0.0,48.389973
2449,0.04081666666666667,0.0,5.7810774
2499,0.04165,0.0,0.0
2549,0.04248333333333333,0.0,0.0
2599,0.04331666666666667,0.0,0.0
2649,0.04415,0.0,0.0
2699,0.044983333333333334,0.0,3.147008
2749,0.045816666666666665,0.0,38.608894
2799,0.04665,0.0,29.061377
2849,0.047483333333333336,0.0,33.279232
2899,0.04831666666666667,0.0,34.232834
2949,0.04915,0.0,43.429974
2999,0.04998333333333333,0.0,32.68096
3049,0.05081666666666667,0.0,0.607232
3099,0.05165,0.0,8.818518
3149,0.05248333333333333,0.0,41.65632
3199,0.053316666666666665,0.0,80.10854
3249,0.05415,0.0,96.78345
3299,0.054983333333333335,0.0,111.45421
3349,0.05581666666666667,0.0,96.39492
3399,0.05665,0.0,29.043371
3449,0.05748333333333333,0.0,0.0
3499,0.05831666666666667,0.0,9.725269
3549,0.05915,0.0,83.83889
3599,0.05998333333333333,0.0,112.35226
3649,0.060816666666666665,0.0,83.17116
3699,0.06165,0.0,83.33482
3749,0.062483333333333335,0.0,64.34125
3799,0.06331666666666666,0.0,22.881792
3849,0.06415,0.0,0.0
3899,0.06498333333333334,0.0,12.44416
3949,0.06581666666666666,0.0,42.3878
3999,0.06665,0.0,104.23936
4049,0.06748333333333334,0.0,116.11929
4099,0.06831666666666666,0.0,100.24431
4149,0.06915,0.0,25.23392
4199,0.06998333333333333,0.0,0.0
4249,0.07081666666666667,0.0,34.41536
4299,0.07165,0.0,65.94457
4349,0.07248333333333333,0.0,60.37521
4399,0.07331666666666667,0.0,56.60612
4449,0.07415,0.0,38.335403
4499,0.07498333333333333,0.0,19.422464
4549,0.07581666666666667,0.0,0.0
